Period,UnleadedGasoline,DieselOil,WTICrudeOil.TRY,Brent.TRY,USD,CPI,CPI.2
1,2.31666666666667,1.8675,64.3711,61.32616,1.3355,9.23,0.55
2,2.37,1.89,66.39525,64.22698,1.283,8.69,0.02
3,2.40538461538462,2.00923076923077,74.9285,73.427225,1.3525,8.69,0.02
4,2.52307692307692,2.08307692307692,69.18538,71.091735,1.3915,8.18,0.71
5,2.52,2.04857142857143,70.913065,69.221085,1.3645,8.70,0.92
6,2.575,2.119,75.17325,73.94919,1.3305,8.95,0.10
7,2.61,2.148,80.309763,78.718683,1.3259,7.82,-0.57
8,2.65181818181818,2.17818181818182,92.7243,90.1419,1.345,7.91,0.85
9,2.73625,2.250625,89.19216,85.47582,1.3465,7.99,1.02
10,2.71583333333333,2.27083333333333,80.76564,78.52215,1.3515,7.52,1.79
11,2.58916666666667,2.16333333333333,77.75458,74.675325,1.3565,7.61,1.40
12,2.584,2.151,82.43452,79.65249,1.3505,7.72,0.42
13,2.634,2.193,89.844576,87.291572,1.3228,7.93,0.75
14,2.603,2.212,80.69274,81.15264,1.314,8.15,0.22
15,2.623,2.224,89.584035,88.615995,1.3445,8.16,0.27
16,2.73818181818182,2.26181818181818,95.0613,95.88125,1.3225,8.83,1.34
17,2.84,2.35692307692308,112.174815,110.790135,1.5735,9.86,1.88
18,2.98636363636364,2.46090909090909,116.994225,116.329575,1.5825,10.12,0.34
19,3.08428571428571,2.57571428571429,111.42144,112.54464,1.4976,11.69,0.85
20,2.96266666666667,2.506,102.909822,102.895175,1.4647,10.26,-0.44
21,2.78588235294118,2.40529411764706,95.277195,94.62596,1.5145,10.55,1.29
22,2.73,2.34,85.581356,86.018516,1.4572,9.98,1.27
23,2.72,2.32285714285714,91.772081,93.414762,1.4537,9.86,1.29
24,2.76,2.35,86.416275,86.14733,1.4155,9.65,0.23
25,2.688,2.272,81.77391,80.7331,1.4065,9.37,-0.05
26,2.68928571428571,2.27142857142857,87.30927,87.45057,1.413,10.16,0.43
27,2.836,2.33666666666667,91.69104,94.7952,1.392,10.86,0.92
28,2.91,2.38,89.661295,92.308425,1.3645,10.72,1.21
29,2.98,2.38,84.333175,89.6427,1.3175,9.23,0.50
30,2.96428571428571,2.38,92.7675,93.725625,1.3125,8.60,-0.24
31,2.90375,2.3975,100.445103,98.955315,1.2843,6.90,-0.73
32,2.859375,2.415625,96.274212,94.518807,1.3003,7.39,0.02
33,2.87888888888889,2.43777777777778,98.571786,95.566107,1.2071,7.12,1.03
34,2.83181818181818,2.44545454545455,110.117997,105.574887,1.1649,7.70,1.81
35,3.0675,2.67416666666667,104.988285,104.45571,1.1835,8.40,1.95
36,3.06142857142857,2.68142857142857,112.075846,109.588645,1.1677,8.39,0.22
37,3.09125,2.645,107.485125,108.024015,1.1715,8.17,0.80
38,3.11727272727273,2.70181818181818,124.29572,122.17205,1.2205,9.10,1.29
39,3.18818181818182,2.89,135.578826,133.87041,1.3347,9.15,0.96
40,3.32555555555556,3.03555555555556,144.627462,141.950592,1.2747,9.66,1.68
41,3.41833333333333,3.19583333333333,155.226915,155.751042,1.2189,10.74,1.49
42,3.501875,3.26,171.318,171.109971,1.2237,10.61,-0.36
43,3.49133333333333,3.24666666666667,144.131328,144.015168,1.1616,12.06,0.58
44,3.31,2.96818181818182,136.76237,135.092225,1.1845,11.77,-0.24
45,3.26,2.9,128.46696,125.314005,1.2765,11.13,0.45
46,3.14,2.8475,104.576582,100.736504,1.5422,11.99,2.60
47,2.958,2.783,85.193836,83.722548,1.5652,10.76,0.83
48,2.77888888888889,2.50666666666667,68.7063,70.231395,1.5405,10.06,-0.41
49,2.81461538461538,2.47384615384615,68.492744,75.394604,1.6433,9.50,0.29
50,2.87444444444444,2.4,76.096476,78.799635,1.7001,7.73,-0.34
51,2.95777777777778,2.45333333333333,82.53492,81.82026,1.662,7.89,1.10
52,2.98333333333333,2.47222222222222,81.705096,81.19364,1.5983,6.13,0.02
53,3.08625,2.4675,101.825636,100.612512,1.5356,5.24,0.64
54,3.16125,2.53875,107.735435,106.82595,1.5415,5.73,0.11
55,3.08,2.49266666666667,102.167895,105.47787,1.4711,5.39,0.25
56,3.295,2.67214285714286,104.967984,104.50286,1.5004,5.33,-0.30
57,3.265,2.66666666666667,104.778179,102.492973,1.4839,5.27,0.39
58,3.28727272727273,2.70909090909091,115.9928,113.28128,1.5064,5.08,2.41
59,3.362,2.782,118.099296,119.917854,1.5282,5.53,1.27
60,3.41428571428571,2.80285714285714,119.055872,116.910586,1.5002,6.53,0.53
61,3.65,3.00333333333333,109.11633,106.97562,1.497,8.19,1.85
62,3.66857142857143,2.99142857142857,123.210122,120.008453,1.5467,10.13,1.45
63,3.75,3.055,127.248192,125.63784,1.5192,9.56,0.58
64,3.75,3.08,128.337655,130.259368,1.4897,10.19,0.60
65,3.69285714285714,3.05285714285714,116.436177,117.506565,1.5741,9.10,-0.36
66,3.665,3.05833333333333,120.017247,119.033369,1.5869,8.37,-0.56
67,3.66428571428571,3.01,119.04081,117.879804,1.5078,7.58,-0.48
68,3.64285714285714,3.04428571428571,109.800264,113.952888,1.5267,8.33,0.40
69,3.645,3.0475,115.812554,119.201342,1.4482,9.24,1.23
